time,task,dataset,psnr,ssim,lpips,dists,clipiqa,musiq
2025-09-05 17:50:18,inpainting,AFHQ,28.17710735894746,0.75136423,0.4736018952727318,0.13552115678787233,0.7638743457198143,56.26060194015503
2025-09-05 17:50:18,inpainting,DIV2K_valid_HR,25.825485857054353,0.7370044,0.4088896311819553,0.1192768257856369,0.7903525653481484,65.38683624267578
2025-09-05 17:50:18,inpainting,RealSR,27.14041177261536,0.74861264,0.40308112680912017,0.13726458251476287,0.6553778924047947,60.891562881469724
2025-09-05 18:14:43,motion_blur,AFHQ,30.23758453690903,0.7985068,0.38684827864170074,0.11238262534141541,0.361064281091094,52.76048803329468
2025-09-05 18:14:43,motion_blur,DIV2K_valid_HR,27.25406308013276,0.77118635,0.37960997089743614,0.12433900773525237,0.46611642682924864,54.083437805175784
2025-09-05 18:14:43,motion_blur,RealSR,28.5725338140659,0.7831407,0.3746343578398228,0.14533242225646972,0.359219314083457,48.72198463439941
2025-09-06 00:43:10,super_resolution,AFHQ,29.904335791125344,0.79861265,0.36775395661592486,0.1297575443983078,0.18190194152295588,50.21150047302246
2025-09-06 00:43:10,super_resolution,DIV2K_valid_HR,25.84678389383178,0.73514724,0.39777746379375456,0.14779347121715547,0.2333799651823938,44.961054458618165
2025-09-06 00:43:10,super_resolution,RealSR,26.697098498738622,0.7359199,0.38761436820030215,0.16722610890865325,0.1644829361140728,41.505941200256345
2025-09-09 09:49:22,gaussian_blur,AFHQ,30.379523802132013,0.7890457,0.39816254705190657,0.12227847456932067,0.2150798089057207,42.02147993087769
2025-09-09 09:49:22,gaussian_blur,DIV2K_valid_HR,26.054717563257306,0.71935225,0.4315603792667389,0.16205887198448182,0.287889177557081,36.66031972885132
2025-09-09 09:49:22,gaussian_blur,RealSR,27.051887911149617,0.722411,0.4389807164669037,0.17966223180294036,0.2055889798607677,34.47361507415771
